Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
139.75440260710909,-174.30978387832653,-208.22430291396194,-105.74329261277252,-3.696359343887657,-219.56110460912234,-197.0784327158674,-102.743850853272
76.80063974444533,-172.03885416700388,-204.7019743758326,-106.73748018860525,-196.4306634411563,-219.57371191082183,-195.14957386518563,-108.12106158575357
63.90201577957822,-171.92442594652647,-204.42304894278433,-104.51144891067362,-193.16102961864968,-224.13806311122437,-195.2944727463155,-106.54962405245585
59.0330814104662,-171.80895282877182,-204.4439134609817,-104.46750558288021,-206.866681873232,82.48095243503346,-195.66738367773905,-105.72629464072614
71.24886087222237,-172.2944783864918,-205.36164837775132,-105.68015508322452,-195.76508031487194,96.06441280876818,-197.30613087227567,-107.75199523510483
50.34435006020444,-172.52434258748633,-206.1717928240169,-106.11726598386548,-203.5180309612504,100.89021662896809,-197.7874660362784,-107.09282414523719
20.60598872871601,-172.55361723826886,-206.50824890620274,-110.66569057994252,-186.85063022837352,-196.38546819656906,-197.50631158969045,-111.53625102092619
8.103425379629554,-173.78719298279645,-206.53286759677272,-116.23216301900116,-176.80768938513495,-181.02331613936988,-196.9387281455591,-115.27053206142877
4.226936182059975,-173.7101169190235,-207.84559348819153,-121.92604040130462,-191.36031424762362,-181.79327226813675,-196.97375899686227,-116.18449802577528
1.7462131628018116,-172.67070909379655,-207.81977326047286,-116.81388159868342,-220.01771292312665,-183.60309883104114,-197.23809419016922,-112.79590876646333
3.6777883606297057,-172.97394836091286,-207.2560324694028,-114.10088069370335,-227.4663584681147,-186.9315546727256,-197.4153368595943,-111.3871251463927
7.89667621031618,-174.55190913740358,-207.5017857110406,-113.82558003709238,78.45697697087722,-185.15044005912077,-197.94336446129932,-111.3535546078817
10.996598597233717,-176.0443785640267,-207.69062539090322,-113.9578470026838,-264.0274134598559,-187.36739087202616,-199.24413694875233,-112.97485413302604
16.627322509274503,-177.9938610990451,-208.1788044406798,-113.67458784959908,68.62887605277012,-187.46263927612688,-199.9237389414407,-112.23183569911117
24.577575239520108,-179.39481924127554,-208.71996540563117,-113.12092967015144,47.72588399154151,-186.2037809970156,-200.5129320567976,-111.56459322338151
43.72873233748338,-182.7889566303995,-209.62815510789363,-113.6733700884067,57.849553150306505,-187.723977453465,-202.40698217751918,-112.20572110505513
51.94132021804403,-183.0407112693774,-210.81231995492283,-112.11094419703868,51.32142568816006,-187.58977300447742,-203.84832491428836,-111.15379211238348
54.77467027556885,-183.30487877506488,-212.9684939882551,-110.49468801215845,49.042078807232606,-188.03765541876217,-205.32688686374274,-109.90351239669356
61.866634536492036,-184.6951885579894,-215.039830453164,-109.79225140849012,57.230797335862995,-189.31436966562396,-205.90759395175496,-109.06789508996515
60.24469656839914,-183.3607472204791,-215.4401285657518,-109.71564418447129,77.16649807806043,-192.23169740971002,-205.30299757200132,-108.94501361173336
68.74131306731815,-183.82725288492236,-214.1455570158321,-108.49278054857213,79.70352502923319,-193.05777618929991,-205.5944399525007,-107.2772233576738
72.86173992361567,-182.24713588938312,-214.38523383339464,-109.87693995621154,64.33607930192544,-191.65011031966256,-204.37438955342998,-107.48444046784812
90.134499569764,-184.52658770648048,-215.36361285238735,-111.19663125349662,66.97817862086865,-191.917803854723,-205.20675304688908,-107.57571216850003
77.10640375453043,-181.66825098941308,-216.7821939360062,-114.46123908598751,66.83104604099718,-191.00703363983897,-205.65114918516113,-108.86566993777278
242.63844990115604,-190.896748852246,-224.68344490398874,-124.38003989032876,-237.11007286252718,-199.3699101955929,-207.44700034439583,-111.44970224471835
-62.01200824365652,-200.8404931129009,-228.6681463549024,-129.43241229709906,72.1119723065754,-223.42940596422795,-211.31748087143606,-116.83940880716418
-76.82588980521477,-196.91560696638027,-228.58722866751825,-128.08552128250017,-245.9629698028619,-215.18536626318354,-211.60302538245034,-115.34400458955719
-45.780598561804595,-207.37022037899044,-231.04396383248027,-134.10194288314634,54.378593935968134,-218.6743708040552,-209.54855698815126,-112.45153664734222
-42.196443252884954,-204.64211270322303,-235.6272098502861,-140.56236386594134,71.32178649530309,-209.8184952432474,-211.18618370286725,-113.65201267629709
-36.07901889133211,-203.0163319279644,-233.13927344287632,-134.42432686189588,69.04049624961506,-204.69722718506182,-213.57336658833447,-113.3995261266501
-38.24131057555749,-202.82799032203593,-229.58570687607414,-133.26704486261247,-257.67568513912175,-204.46015342748862,-213.5510112120257,-115.9883587584163
-35.857152296049,-203.15633354598498,-231.94447598435963,-135.7105107493189,74.29898247952671,-205.19871426422966,-213.92094177282547,-116.10979618906431
-36.381767896699856,-202.14572328265533,-233.0907848810997,-133.47088137136467,-252.10421198466906,-205.72891088896895,-215.12832540753152,-115.62973086652414
-33.86898742231887,-201.33889741702868,-233.90736171377645,-134.8260833351471,-256.63538026980837,-203.53187380754818,-215.93576579413423,-115.87019205554682
-30.086980056336216,-200.40444885577068,-234.01003084870672,-134.03571361092045,-259.8122525793469,-203.8513406597992,-216.54917798781233,-115.89968439689564
-28.07398499007662,-199.87004669605966,-233.48669004280214,-132.81418020141845,-268.6280203335631,-202.23586468216726,-216.75742530818698,-113.94836188659092
-35.15115179549601,-196.0526262981521,-232.93002826436202,-128.87846531738336,-247.02267487162376,-194.3995906626263,-216.19968857733753,-110.66791353515909
-34.609327648857246,-197.37877037760995,-232.02322391616048,-129.34091256257233,71.29864342459221,-202.31862815804834,-216.30291181761197,-112.7978236475152
-27.657985146895182,-201.3886753822322,-233.13055130715637,-130.71767545868252,48.82750603421283,-208.9820409822505,-217.3066150267012,-118.26879422572352
-35.08865808320932,-197.85621086142106,-235.83739236620048,-130.70864023286433,-249.3374646655441,-197.7796306636817,-220.2416202806935,-116.85270689066246
-94.3983921849615,-189.57727995385576,-237.8084887347701,-126.69255192969486,-269.6058447131168,-185.36114363829705,-218.7378708947224,-111.7758690960776
101.91536039565926,-187.07245290820345,-237.81768515927587,-122.10830213544045,-272.81843681524936,-185.46832446642216,-218.15451512680528,-109.67117446793968
-98.6648074352894,-189.5386245264067,-236.36310154596228,-124.90444479229213,-237.69401835639277,-191.09080957400315,-216.93673162668654,-115.56604093560627
-124.38201290975992,-190.69264155773632,-237.24109067008027,-126.68826008616135,-232.40493051906836,-193.32206289436192,-216.89426375740922,-115.03179240863236
195.30608256757148,-190.112367007167,-236.98299986401682,-129.91704681324669,-241.33399285573472,-191.1940616435453,-217.93255320088792,-115.94870218686356
127.95540127552103,-188.16443776702025,-236.88530972283192,-130.91995241102217,-241.03376457657512,-188.56995392536805,-217.84566826828933,-116.01341387771843
102.53069466588781,-187.13114881926003,-236.3815913616275,-131.63727217421274,-270.7064267450131,-186.7621379845525,-216.0756134122161,-114.83245637967914
112.7563737375692,-187.45094921653796,-238.34250348886738,-137.50876663932945,-269.0150406501852,-188.49017204214144,-211.28509516655134,-111.57330024661186
52.113882928941244,-182.87006721001632,-237.03354744942436,-133.1440514595365,29.30507402700647,-183.40278849935473,-211.106175454197,-111.25398020067858
62.98037182900791,-183.729761614211,-238.90982065511864,-138.0506971831661,45.568052156987505,-185.83601535851125,-209.8812288958271,-110.49514234611802
